Job_Title,Min_Salary,Max_Salary,Company,Ratings,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$122K,$146K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$122K,$146K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$122K,$146K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$122K,$146K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$122K,$146K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$122K,$146K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Senior Data Scientist,$122K,$146K,Maxar Technologies,3.5,"Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),Unknown
Data Scientist,$112K,$116K,Quick Base,4.3,"Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist,$112K,$116K,Takeda,3.7,"Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer"
Data Scientist,$112K,$116K,Maxar Technologies,3.5,"Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),Unknown
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,$112K,$116K,Southwest Research Institute,3.9,"Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International"
Data Scientist,$112K,$116K,Compass Consulting Group,4.7,"Thousand Oaks, CA","Danville, CA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Unknown
Data Science Software Engineer,$112K,$116K,Klaviyo,4.8,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Unknown
AI Ops Data Scientist,$112K,$116K,AstraZeneca,4.0,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
Data Scientist,$112K,$116K,"SolutionIT, Inc.",4.4,"Edison, NJ","Wilmington, MA",51 to 200 employees,,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Unknown
